folder,folder_digitized,pdf_id,num_interviews,interview_num,header,subheader,location,interviewer,title
587,yes,644,1,1,"Long, A. W. (interviewer): Judge Sidney Saylor","William F. Harding, white, Eastern North Carolina, white, judge, Charlotte, 22 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 587","Long, A. W. (interviewer)",Judge Sidney Saylor
588,yes,626,1,1,"Long, A. W. (interviewer): Jack Gallup: Meat Clerk","Spencer Mull, [1906?], Brevard, white, meat clerk, Brevard, 14 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 588","Long, A. W. (interviewer)",Jack Gallup Meat Clerk
589,yes,658,1,1,"Long, A. W. (interviewer): Schoolmaster and Explorer","Samuel P. Verner, no date given, no place given, white, schoolmaster, Brevard, 14 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 589","Long, A. W. (interviewer)",Schoolmaster and Explorer
590,yes,648,1,1,"Long, A. W. (interviewer): Life in a Small Mountain Town","Life in a small mountain town, Brevard, 12 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 590","Long, A. W. (interviewer)",Life in a Small Mountain Town
591,yes,623,1,1,"Long, A. W. (interviewer): Up Hominy Creek","Morrison Baynard, no date given, Brevard, white, farmer and huntsman, Brevard, 12 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 591","Long, A. W. (interviewer)",Up Hominy Creek
592,yes,651,1,1,"Long, A. W. (interviewer): Janitor and Odd Job Man","Ossie Bailey, [1879?], Brevard, black, janitor and odd job man, Brevard, 15 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 592","Long, A. W. (interviewer)",Janitor and Odd Job Man
593,yes,653,1,1,"Mabry, Luline L. (interviewer): Mrs. Foster Ricks","Mrs. Earl Marshall, no date given, Dana, white, farmer, Dana, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 593","Mabry, Luline L. (interviewer)",Mrs. Foster Ricks
594,yes,641,1,1,"Mabry, Luline, and Frank Massimino (interviewers): Desolate Breed","Mrs. Walter Steadman, no date given, no place given, white, dressmaker, Hendersonville, 14 and 26 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 594","Mabry, Luline, and Frank Massimino (interviewers)",Desolate Breed
595,yes,607,1,1,"Mabry, Luline, and Douglas Carter (interviewers): ""Washin' Foh White Fo'ks""","Josephine Johnson, 1870, Gifford Station, S.C., black, washwoman, Laura Summey, [1863?], South Carolina, black, washwoman, Hendersonville, 14 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 595","Mabry, Luline, and Douglas Carter (interviewers)","""Washin' Foh White Fo'ks"""
596,yes,634,1,1,"Mabry, Luline L. (interviewer): The Satterfields","Mrs. Fred L. Satterfield, no date given, South Carolina, white, wife of a mill worker, Hendersonville, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 596","Mabry, Luline L. (interviewer)",The Satterfields
597,yes,633,1,1,Mabry & Massimino (interviewers): Bees in Her Bonnet,"Mrs. Raymond Pace, circa 1908, Heightsville, white, florist, Hendersonville, 20 December 1938, and 19 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 597",Mabry & Massimino (interviewers),Bees in Her Bonnet
598,yes,629,1,1,"Mabry & Carter (interviewers): ""Every Penny Counts""","Mrs. D. E. Greer, circa 1882, Hendersonville, white, domestic servant, Hendersonville, 10 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 598",Mabry & Carter (interviewers),"""Every Penny Counts"""
599,yes,642,1,1,"Mabry, Luline L. (interviewer): The Rosses","Mrs. Ross, no date given, South Carolina, white, seamstress, Hendersonville, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 599","Mabry, Luline L. (interviewer)",The Rosses
600,yes,637,1,1,"Mabry & Massimino (interviewers): ""Orphans Two""","Robert H. Delvechio, no date given, no place given, white, stone mason, bricklayer, Hendersonville, 18 August 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 600",Mabry & Massimino (interviewers),"""Orphans Two"""
601,yes,647,1,1,Mabry & Massimino (interviewers): Her Ungodly Grandson,"Mrs. J. W. Thompson, white, housewife, Hendersonville, 4 August 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 601",Mabry & Massimino (interviewers),Her Ungodly Grandson
602,yes,599,1,1,"Mabry, Massimino, and Ed Bjorkman (interviewers): Laughing at Poverty","L. C. Pearson, circa 1899, no place given, white, preacher, Hendersonville, 1 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 602","Mabry, Massimino, and Ed Bjorkman (interviewers)",Laughing at Poverty
603,yes,613,1,1,Mabry & Massimino (interviewers): A Negro in Business,"Robert Quinn, no date given, Greenville, S.C., black, electrical contractor, Hendersonville, 5 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 603",Mabry & Massimino (interviewers),A Negro in Business
604,yes,652,1,1,"Mabry, Massimino, and Claude Dunnagan (interviewers): James T. Dunlap, Ex-Industrialist","J. T. Whitlock, circa 1883, Union, S.C., white, salesman, Hendersonville, 27 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 604","Mabry, Massimino, and Claude Dunnagan (interviewers)","James T. Dunlap, Ex-Industrialist"
605,yes,609,1,1,Mabry & Massimino (interviewers): Stella Dean: Waitress,"Mrs. Albert Gresham, no date given, KA, white, waitress, Hendersonville, 21 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 605",Mabry & Massimino (interviewers),Stella Dean Waitress
606,yes,604,1,1,"Massengill, Edwin (interviewer): An Evening at Buster Sparks'","Archie Johnson, no date given, no place given, white, farmer, Angier, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 606","Massengill, Edwin (interviewer)",An Evening at Buster Sparks'
607,yes,619,1,1,"Massimino, Frank (interviewer): The Deever Taylors, Balfour, North Carolina","Deever Taylor, no date given, no place given, white, textile worker, Hendersonville, 10 October 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 607","Massimino, Frank (interviewer)","The Deever Taylors, Balfour, North Carolina"
608,yes,605,1,1,"Massimino, Frank (interviewer): Two Sides to a Story","Oscar Vaughan, no date given, no place given, white, bootlegger, Hendersonville, 9 December 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 608","Massimino, Frank (interviewer)",Two Sides to a Story
609,yes,600,1,1,"Massimino, Frank (interviewer): An Irascible Negro","Jim Mitchum, circa 1894, Outman S.C., black, chauffeur-mechanic, Hendersonville, 1 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 609","Massimino, Frank (interviewer)",An Irascible Negro
610,yes,618,1,1,"Massimino, Frank (interviewer): John Leard: Ploughman","Quay Corn, no date given, no place given, white, farmer, Hendersonville, 19 June 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 610","Massimino, Frank (interviewer)",John Leard Ploughman
611,yes,620,1,1,"Massimino, Frank (interviewer): Claude J. Davidson","Claude J. Davidson, 1908, no place given, white, chainstore employee, Hendersonville, 12 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 611","Massimino, Frank (interviewer)",Claude J. Davidson
612,yes,610,1,1,"Massimino, Frank (interviewer): Doctor Gray","Dr. James Stevens Brown, no date given, no place given, white, doctor, Hendersonville, 11 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 612","Massimino, Frank (interviewer)",Doctor Gray
613,yes,608,1,1,"Massimino, Frank (interviewer): The Elmer Rays","Elmer Ray, no date given, no place given, white, odd jobs, Hendersonville, 17 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 613","Massimino, Frank (interviewer)",The Elmer Rays
614,yes,615,1,1,"Masssimino, Frank (interviewer): Uncle Ulysses: Relief Client","Winslow Mills, no date given, no place given, black, laborer, Hendersonville, 11 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 614","Masssimino, Frank (interviewer)",Uncle Ulysses Relief Client
615,yes,616,1,1,"Massimino, Frank (interviewer): Roy Corn, Blockader","Roy Corn, no date given, no place given, white, blockader, Hendersonville, 19 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 615","Massimino, Frank (interviewer)","Roy Corn, Blockader"
616,yes,657,1,1,"Matthews, T. Pat, and Edwin Massengill (interviewers): From Farm Tenant to Plumber","Robert Matthews, no date given, no place given, white, plumber, Raleigh, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 616","Matthews, T. Pat, and Edwin Massengill (interviewers)",From Farm Tenant to Plumber
617,yes,655,1,1,Matthews and Massengill (interviewers): I Was Born That Way,"Noah Abraham Peterson, 1883, no place given, white, peddler, Raleigh, 29 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 617",Matthews and Massengill (interviewers),I Was Born That Way
618,yes,639,1,1,"Matthews, T. Pat (interviewer): We Make Plenty","Matthew Luke Matthews, 1881, no place given, black, farmer, Lillington, 27 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 618","Matthews, T. Pat (interviewer)",We Make Plenty
619,yes,650,1,1,Matthews and Massengill (interviewers): Rooming House,"Sarah Parish, 1873, Johnston County, white, rooming house proprietor, Raleigh, 20 January 1839","#03709, Subseries: ""1.5. North Carolina."" Folder 619",Matthews and Massengill (interviewers),Rooming House
620,yes,622,1,1,Matthews and Massengill (interviewers): Heading the Wrong Way,"Flonnie Barbour, 1909, Bloomberg, white, sporting woman, Raleigh, 4 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 620",Matthews and Massengill (interviewers),Heading the Wrong Way
621,yes,638,1,1,Matthews and Massengill (interviewers): A Life of Toil,"Fred Gouch, circa 1891, no place given, white, metal worker, Raleigh, 3 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 621",Matthews and Massengill (interviewers),A Life of Toil
622,yes,561,1,1,Matthews and Massengill (interviewers): In A Tight Place,"Sarah Strickland Faison, circa 1874, no place given, white, merchant and housewife, Clayton, 9 May 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 622",Matthews and Massengill (interviewers),In A Tight Place
623,yes,594,1,1,Matthews and Massengill (interviewers): Bryan Outlaw,"Zebedee Matthews, 1858, no place given, white, farmer, Varina, 25 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 623",Matthews and Massengill (interviewers),Bryan Outlaw
624,yes,586,1,1,"Matthews, T. Pat (interviewer): The Wood Family","Patricia Ozelle Wood, circa 1912, Clinton, white, housewife, Lillington, 25 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 624","Matthews, T. Pat (interviewer)",The Wood Family
625,yes,558,1,1,"Matthews, T. Pat (interviewer): John Sylvester Hinson","Walter Ingram Butts, 1881, no place given, white, farmer, Lillington, 29 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 625","Matthews, T. Pat (interviewer)",John Sylvester Hinson
626,yes,598,1,1,Matthews and Massengill (interviewers): Amos Abner Cotton,"Robert Dotson Glenn, 1850, Orange County, black, farmer, Raleigh, 11 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 626",Matthews and Massengill (interviewers),Amos Abner Cotton
627,yes,548,1,1,"McDonald, Frank H. (interviewer): Georgia Negro","Aaron Jackson, circa 1910, Washington Ga., black, janitor, Raleigh, 28 November-3 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 627","McDonald, Frank H. (interviewer)",Georgia Negro
628,yes,573,1,1,"McDonald, Frank H. (interviewer): Pinie and George","Pinie Stewart, circa 1909, Belmont, white, textile worker, Raleigh, 15 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 628","McDonald, Frank H. (interviewer)",Pinie and George
629,yes,577,1,1,"McKee, Henry (interviewer): Afraid to Belong to a Union","Charles Humphrey, 1890, no place given, white, cotton mill worker, East Lumberton, 15 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 629","McKee, Henry (interviewer)",Afraid to Belong to a Union
630,yes,547,1,1,"Merrick, Adyleen G. (interviewer): The Ruffs","Mrs. Joe Ruff, no date given, no place given, white, tenant farmer; Joe Ruff, no date given, no place given, white, tenant farmer, East Lumberton, 14 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 630","Merrick, Adyleen G. (interviewer)",The Ruffs
631,yes,540,1,1,"Merrick, Adyleen G. (interviewer): Untitled","Mary Green, no date given, no place given, white, occupation not given, Lynn Township, 28 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 631","Merrick, Adyleen G. (interviewer)",Untitled
632,yes,542,1,1,"Merrick, Adyleen G. (interviewer): Blue Di'monds","Jim McDowell, no date given, no place given, black, WPA laborer, Tryon, 6 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 632","Merrick, Adyleen G. (interviewer)",Blue Di'monds
633,yes,575,1,1,"Merrick, Adyleen G. (interviewer): Another version of the above interview.",,"#03709, Subseries: ""1.5. North Carolina."" Folder 633","Merrick, Adyleen G. (interviewer)",Another version of the above interview.
634,yes,584,1,1,"Merrick, Adyleen G. (interviewer): Husbands Are a Lot of Trouble","Ollie Foster Green, circa 1910, Columbus, white, WPA worker, Columbus, 22 March 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 634","Merrick, Adyleen G. (interviewer)",Husbands Are a Lot of Trouble
635,yes,579,1,1,"Merrick, Adyleen G. (interviewer): Alice Smith","Alice Smith, 1862, Mills Spring, white, basket weaver, Mills Spring, 11 November 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 635","Merrick, Adyleen G. (interviewer)",Alice Smith
636,yes,560,1,1,Merrick and Mary Northrop (interviewers): The Schmidts,"Ernest Gotthelf Volmer, 1884, Wurzburg, Germany, German, vinyardist, Valhalla, 13 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 636",Merrick and Mary Northrop (interviewers),The Schmidts
637,yes,562,1,1,Merrick and Northrop (interviewers): Untitled,"Judge Samuel Early, 1876, Coleyville, white, magistrate, Tryon, 6 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 637",Merrick and Northrop (interviewers),Untitled
638,yes,556,1,1,Merrick and Northrop (interviewers): Another version of the above interview.,,"#03709, Subseries: ""1.5. North Carolina."" Folder 638",Merrick and Northrop (interviewers),Another version of the above interview.
639,yes,583,1,1,Merrick and Northrop (interviewers): Waitin' For Night to Come,"Mary Stanton Jones, no date given, Saluda, black, midwife and weaver, Saluda, 28 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 639",Merrick and Northrop (interviewers),Waitin' For Night to Come
640,yes,564,1,1,Merrick and Northrop (interviewers): Women Have to Keep Strivin',"Addie Gaines, 1861, Tenn., white, dairy farmer, Saluda, 16 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 640",Merrick and Northrop (interviewers),Women Have to Keep Strivin'
641,yes,580,1,1,"Merrick, Adyleen G. (interviewer): Untitled","Frank Nesbeth, no date given, Bollman Place, Pacolet River, black, bootblack, Tryon, 12 February 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 641","Merrick, Adyleen G. (interviewer)",Untitled
642,yes,582,1,1,Merrick and Crawford (interviewers): Untitled,"John Ralph Moore, circa 1913, no place given, white, woodcarver, Tryon, 10 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 642",Merrick and Crawford (interviewers),Untitled
643,yes,544,1,1,Merrick and Northrop (interviewers): Washin's Fool Work For a Man,"John Ellis Mills, no date given, April Creek Holloway Gap Road, black, washer, Lynn, 1 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 643",Merrick and Northrop (interviewers),Washin's Fool Work For a Man
644,yes,557,1,1,Merrick and Northrop (interviewers): Elizabeth Rhodes,"Elizabeth Rhodes, no date given, Green River Cove, white, shopowner, Tryon, 25 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 644",Merrick and Northrop (interviewers),Elizabeth Rhodes
645,yes,596,1,1,Merrick and Northrop (interviewers): Another version of the above interview.,,"#03709, Subseries: ""1.5. North Carolina."" Folder 645",Merrick and Northrop (interviewers),Another version of the above interview.
646,yes,554,1,1,"Merrick, Adyleen G. (interviewer): Youth Cries Out","Norman Julian Mills, 1916, no place given, white, footer in hosiery mill, Tryon, 15 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 646","Merrick, Adyleen G. (interviewer)",Youth Cries Out
647,yes,563,1,1,Merrick and Crawford (interviewers): Untitled,"Noble Hannon, no date given, no place given, black, houseman, Tryon, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 647",Merrick and Crawford (interviewers),Untitled
648,yes,592,1,1,Merrick and Crawford (interviewers): Untitled,"Melinda Grumble, 1870, no place given, white, caretaker of wildlife preserve, Saluda, 7 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 648",Merrick and Crawford (interviewers),Untitled
649,yes,597,1,1,"Merrick, Adyleen G. (interviewer): James Walker Heatherly","James Walker Heatherly, circa 1869, white, telegraph operator, Saluda, 2 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 649","Merrick, Adyleen G. (interviewer)",James Walker Heatherly
650,yes,550,1,1,Merrick and Northrop (interviewers): Flowers Sweeten the Road,"Selema Mills, no date given, no place given, black, cook and maid, Tryon, 20 April 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 650",Merrick and Northrop (interviewers),Flowers Sweeten the Road
651,yes,585,1,1,"Merrick, Adyleen G. (interviewer): Street-Sweeper and Tonic Maker","Thomas Sizemore, 1861, Brevard, white, sanitary department employee, Tryon, 8 June 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 651","Merrick, Adyleen G. (interviewer)",Street-Sweeper and Tonic Maker
652,yes,570,1,1,"Miller, Harold H. and Massengill (interviewers): They Are Still Coming","Mary Bloomberg, no date given, no place given, white, wife of an automobile mechanic, New Bern, 25 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 652","Miller, Harold H. and Massengill (interviewers)",They Are Still Coming
653,yes,589,1,1,"Moore, Ida L. (interviewer): Almeda Brady","Almeda Brady, circa 1874, Randolph County, white, millworker, Balfour, 7 March 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 653","Moore, Ida L. (interviewer)",Almeda Brady
654,yes,581,1,1,"Moore, Ida L. (interviewer): Description of Mill Village","Balfour Mill, Balfour, 3 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 654","Moore, Ida L. (interviewer)",Description of Mill Village
655,yes,553,1,1,"Moore, Ida L. (interviewer): Description of a Mill Village (Royal Cotton Mill)","Royal Cotton Mill, Wake Forest, 20 September 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 655","Moore, Ida L. (interviewer)",Description of a Mill Village (Royal Cotton Mill)
656,yes,551,1,1,"Moore, Ida L. (interviewer): The Sanders","Sally Dunne, circa 1873, no place given, white, ties tobacco sacks, West Durham, 12 July 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 656","Moore, Ida L. (interviewer)",The Sanders
657,yes,587,1,1,"Moore, Ida L. (interviewer): The Artificial Leg","Carrie Scott, no date given, Virginia, housewife, Spray, 20 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 657","Moore, Ida L. (interviewer)",The Artificial Leg
658,yes,595,1,1,"Moore, Ida L. The Haithcocks (The Hathaways)","The Haithcocks, white, textile workers, Durham, 7 July 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 658",,"Moore, Ida L. The Haithcocks (The Hathaways)"
659,yes,574,1,1,"Moore, Ida L. (interviewer): John Pierce","John Pierce, circa 1883, Warren County, white, millworker, Wake Forest, 22 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 659","Moore, Ida L. (interviewer)",John Pierce
660,yes,541,1,1,"Moore, Ida L. (interviewer): Good Name for Feedin'","Mrs. Godwin, circa 1874, white, boarding house operator, Spray, 23 September 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 660","Moore, Ida L. (interviewer)",Good Name for Feedin'
661,yes,552,1,1,"Moore, Ida L. (interviewer): A Boy at the Conley Boarding House","No name given, [1918?], Marshall, white, wife of a mill worker, Landgrove, 14 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 661","Moore, Ida L. (interviewer)",A Boy at the Conley Boarding House
662,yes,578,1,1,"Moore, Ida L. (interviewer): One Afternoon in November","Rachel Lester, no date given, no place given, white, widow millworker family, Spray, 9 November 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 662","Moore, Ida L. (interviewer)",One Afternoon in November
663,yes,568,1,1,"Moore, Ida L. (interviewer): A Day on Factory Hill","No name given, no date given, no place given, white, wife of a mill worker, Landgrove, 10 August 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 663","Moore, Ida L. (interviewer)",A Day on Factory Hill
664,yes,549,1,1,"Moore, Ida L. (interviewer): One Family in the Stream of Time","Will Westbrooks, 1860, no place given, white, mill worker, Greensboro, 15 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 664","Moore, Ida L. (interviewer)",One Family in the Stream of Time
665,yes,567,1,1,"Moore, Ida L. (interviewer): The Wilsons","Mamie Wilson, no date given, Canton, wife of a mill worker, Marion, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 665","Moore, Ida L. (interviewer)",The Wilsons
666,yes,545,1,1,"Moore, Ida L. (interviewer): Clarence Byrd","Clarence Byrd, [1909?], no place given, white, mill worker, Marion, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 666","Moore, Ida L. (interviewer)",Clarence Byrd
667,yes,566,1,1,"Moore, Ida L. (interviewer): When A Man Believes","James Evans, no date given, no place given, white, mill worker, Rudd, 29 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 667","Moore, Ida L. (interviewer)",When A Man Believes
668,yes,572,1,1,"Moore, Ida L. (interviewer): Hester","[Hester?] circa 1879, no place given, white, Spray, 15 November 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 668","Moore, Ida L. (interviewer)",Hester
669,yes,565,1,1,"Moore, Ida L. (interviewer): Clara Layton","Clara Layton, no date given, Liberty, white, wife of a mill worker, Greensboro, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 669","Moore, Ida L. (interviewer)",Clara Layton
670,yes,543,1,1,"Moore, Ida L. (interviewer): John Vinson","John Vinson, no date given, Guilford County, white, mill worker, Greensboro, 8 October 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 670","Moore, Ida L. (interviewer)",John Vinson
671,yes,571,1,1,"Moore, Ida L. (interviewer): Untitled","Rena Austin, no date given, no place given, white, mill worker, Asheville, 12 July 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 671","Moore, Ida L. (interviewer)",Untitled
672,yes,590,1,1,"Moore, Ida L. (interviewer): There's Always A Judas","David Cooke, [1897?], no place given, white, preacher, Asheville, 28 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 672","Moore, Ida L. (interviewer)",There's Always A Judas
673,yes,591,1,1,"Moore, Ida L. (interviewer): Interview with Captain Smythe, President","Captain John Smythe, 1847, no place given, white, mill owner, Balfour, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 673","Moore, Ida L. (interviewer)","Interview with Captain Smythe, President"
674,yes,593,1,1,"Moore, Ida L. (interviewer): A Day at Mary Rumbley's House","Mary Rumbley, [1875?], no place given, white, textile worker, Burlington, 31 October 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 674","Moore, Ida L. (interviewer)",A Day at Mary Rumbley's House
675,yes,569,1,1,"Moore, Ida L. (interviewer): Description of Mill Village","Description of a mill village, West Durham Cotton Mill, West Durham, 17 September 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 675","Moore, Ida L. (interviewer)",Description of Mill Village
676,yes,555,1,1,"Moore, Ida L. (interviewer): Description of Mill Village","Description of a mill village, Asheville Cotton Mill, Asheville, 22 August 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 676","Moore, Ida L. (interviewer)",Description of Mill Village
677,yes,588,1,1,"Moore, Ida L. (interviewer): Description of Mill Village-Spencer","Description of a mill village, Spencer Mill Village, Spindale, 30 September 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 677","Moore, Ida L. (interviewer)",Description of Mill Village-Spencer
678,yes,559,1,1,"Moore, Ida L. (interviewer): East Durham Mill Village","Description of a Mill Village, East Durham Mill Village, East Durham, 12 September 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 678","Moore, Ida L. (interviewer)",East Durham Mill Village
679,yes,576,1,1,"Moore, Ida L. (interviewer): Old Man Dobbin and His Crowd","Frank Martin, circa 1870, no place given, white, textile worker, Greensboro, no date given","#03709, Subseries: ""1.5. North Carolina."" Folder 679","Moore, Ida L. (interviewer)",Old Man Dobbin and His Crowd
680,yes,546,1,1,"Moore, Ida L. (interviewer): ""Pay Day"" by Virginia Stevens",A radio play script of the above interview,"#03709, Subseries: ""1.5. North Carolina."" Folder 680","Moore, Ida L. (interviewer)","""Pay Day"" by Virginia Stevens"
681,yes,323,1,1,"North, Albert (interviewer): The Dunlap Family","Vesta Huffman, circa 1896, white, on relief, Greensboro, 28 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 681","North, Albert (interviewer)",The Dunlap Family
682,yes,326,1,1,"Northrop, Mary (interviewer): Untitled","Alfred Stamey, circa 1908, no place given, Tenn., white, on relief; Clara Stamey, circa 1913, Ducktown, Tenn., Charlotte, 11 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 682","Northrop, Mary (interviewer)",Untitled
683,yes,338,1,1,"Northrop, Mary (interviewer): Hillbilly Broadcast","Bill Carlisle, no date given, Briar Ridge, Ky., white, radio hillbilly, Charlotte, 8 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 683","Northrop, Mary (interviewer)",Hillbilly Broadcast
684,yes,325,1,1,"Overton, Frank L. and W. O. Saunders (interviewers): ""Hold, Hell! I've Got to Have the Money Now.""","Horatio Seymour, no date given, no place given, white, tenant farmer, Camdan, no date given [Variant form may be found in Thaddeus S. Ferree papers (#4258)]","#03709, Subseries: ""1.5. North Carolina."" Folder 684","Overton, Frank L. and W. O. Saunders (interviewers)","""Hold, Hell! I've Got to Have the Money Now."""
685,yes,328,1,1,"Palmer, John (interviewer): An Estate By Entirety","Sam Hite, circa 1851, Virginia, black, farmer; Mary Hite, circa 1853, Virginia, black, farmer, Warren Plains, 26 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 685","Palmer, John (interviewer)",An Estate By Entirety
686,yes,319,1,1,"Palmer, Katherine (interviewer): Lily Wade","Lily Wade, no date given, no place given, white, textile worker, Pomona, 30 December 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 686","Palmer, Katherine (interviewer)",Lily Wade
687,yes,317,1,1,"Palmer, Katherine (interviewer): The Country Store","Frederick Moore, no date given, no place given, white, storekeeper, Harper's Crossroads, 14 February 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 687","Palmer, Katherine (interviewer)",The Country Store
688,yes,322,1,1,"Palmer, Katherine (interviewer): Life of a School Teacher","Mrs. Robert Dorset, no date given, no place given, white, schoolteacher, Siler City, March 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 688","Palmer, Katherine (interviewer)",Life of a School Teacher
689,yes,335,1,1,"Palmer, Katherine (interviewer): The Markham Family","Delke Markham, no date given, no place given, white, farmer; Lydia Markham, circa 1903, white, farmer, Mount Vernon Springs, 8 December 1938","#03709, Subseries: ""1.5. North Carolina."" Folder 689","Palmer, Katherine (interviewer)",The Markham Family
690,yes,316,1,1,"Pearson, James Larkin and Claude V. Dunnagan (interviewers): Music is Lost in the Mails","J.E. Foster, no date given, no place given, white, mail carrier, Ferguson, 27 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 690","Pearson, James Larkin and Claude V. Dunnagan (interviewers)",Music is Lost in the Mails
691,yes,315,1,1,"Pearson, James Larkin and Dunnagan (interviewers): What is Left of a Family","Jane McNeill, no date given, no place given, white, farmer, Boomer, 5 January 1939","#03709, Subseries: ""1.5. North Carolina."" Folder 691","Pearson, James Larkin and Dunnagan (interviewers)",What is Left of a Family
